"소득","가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액"
10190972,2763245,1461399,1301847
1019103,1486949,1068616,418333
10191098,5472748,4010568,1462180
1019167,730247,676913,53333
1019630,1845197,1016727,828470
1019737,1050571,481238,569333
1020000,1680782,1499412,181370
1020000,2072843,1380153,692690
1020031,1208266,870973,337293
1020333,1206541,1153471,53070
1020417,1147560,322560,825000
1020427,696040,577707,118333
10210370,4639719,2861739,1777980
1021133,463165,396499,66667
10216531,4640716,3532758,1107957
10216660,4257438,2497388,1760050
1021887,990812,879812,111000
10220354,6373046,4317594,2055452
1022377,1906573,1629906,276667
10226350,5832132,5249782,582350
1023000,1732698,1032028,700670
10231371,7468553,4747480,2721072
10231907,4019091,2686029,1333062
1023250,1431053,1160696,270357
1023333,451284,401284,50000
1023333,646880,646880,0
1023333,805416,752826,52590
10233333,10411558,6513241,3898317
10239513,6596926,4715229,1881697
10242745,8606603,6469603,2137000
10244910,4942810,4681010,261800
1024500,2300511,1994424,306087
10249324,5081301,2330227,2751074
1025000,1316050,635200,680850
1025000,3051783,2738141,313642
10250000,6379313,4345247,2034066
1025274,1335583,1156917,178667
1025407,1315781,947213,368568
10256567,4125470,3014688,1110782
10265867,4314615,1936882,2377733
1026727,1157500,1130833,26667
1026800,773091,742472,30620
10269750,4587940,4078440,509500
10271079,2911945,1917387,994558
10272764,6451979,3598779,2853200
10273263,11089414,7087122,4002292
10273543,5872195,3848041,2024154
10276320,5834262,4591212,1243050
10278660,6669599,3894139,2775460
10278708,13659108,8581611,5077497
1027892,2667963,1981076,686887
1028000,524298,454298,70000
10285210,6851053,2367883,4483170
1028560,1949209,1582644,366565
1028583,1095745,620745,475000
1028750,898439,744021,154418
1028750,979781,803531,176250
1028897,1575733,1439900,135833
1028915,851070,813920,37150
1029067,1240657,1154990,85667
10294407,2515619,1585549,930070
1029600,1538577,1146787,391790
1030000,1151098,663765,487333
10300000,5333301,4343438,989863
10300000,6640894,3867710,2773183
1030293,436670,311090,125580
1030344,1431364,911364,520000
1030354,1010061,895061,115000
1030430,596352,343702,252650
1030667,1584333,1427666,156667
1030995,1972132,1720532,251600
1031300,719346,657499,61847
10319846,6609711,4387944,2221768
1032000,2249331,1981523,267808
1032083,867291,448957,418333
1032333,1033640,893973,139667
1032387,800823,686040,114783
1032440,541462,450795,90667
10325770,6334533,4180083,2154450
10327300,6829679,3980584,2849095
1032790,1146944,837451,309493
1032963,590524,569691,20833
10333280,5488810,2734900,2753910
103333,544778,489108,55670
1033333,1667053,1387053,280000
10333333,9469703,4712763,4756940
1033750,599000,351500,247500
10349523,6591359,4467422,2123937
10350000,3139488,2886155,253333
10350000,8456552,5342157,3114395
1035200,1332124,1175398,156727
1035260,725122,705122,20000
10356350,5425206,5001976,423230
1035674,761682,731650,30032
1036007,2056350,2029313,27037
1036007,516017,489350,26667
10360343,13303222,11363526,1939696
10361377,2454840,1506507,948333
10361833,10338338,8519165,1819173
10362000,17059248,11332078,5727170
10362717,6602522,2889412,3713110
1036333,1237110,1202777,34333
10366667,3719497,1663830,2055667
10366667,6710098,3896918,2813180
1036667,457527,236860,220667
10367333,10964237,7896923,3067313
10371956,7709827,5185007,2524820
1037200,481885,481885,0
10372779,2844689,1687159,1157530
1037357,1098997,820664,278333
10375000,9105701,4627101,4478600
10376362,6374404,3378668,2995737
1038000,1436291,1229291,207000
10381116,8321543,3334439,4987104
1038250,964729,774729,190000
10383000,7164955,6048835,1116120
1038315,1086948,1051948,35000
1038366,383527,336254,47273
1038433,589012,589012,0
10386149,7766187,3655220,4110967
1039000,1214753,1024753,190000
10390251,11368610,6183124,5185486
1039167,883305,823305,60000
1039250,973525,843858,129667
1039333,788295,788295,0
10396527,1981905,1254572,727333
10396950,12323723,10464493,1859230
1039772,944886,890886,54000
10398650,6592942,3819597,2773345
104000,2687768,2586101,101667
1040000,1260403,1095210,165193
1040000,1379174,1369174,10000
10400763,5440052,3469482,1970570
10404375,4428365,1893284,2535081
1040588,941311,777914,163397
1041331,838626,753626,85000
1041667,729497,475997,253500
10416917,9080045,6891339,2188707
1041736,1726546,712576,1013970
1041760,2092923,2056257,36667
1041827,1264364,1013364,251000
10419610,5561471,3148941,2412530
10420540,5759888,3934258,1825630
1042330,922094,726761,195333
1042680,2106368,2106368,0
1043000,765111,540111,225000
1043333,1859457,1707123,152333
1043333,2741940,2451447,290493
1043333,922227,872227,50000
10433333,11782622,9549686,2232936
10435393,10179814,7136127,3043687
10436441,11297470,8112176,3185293
1044307,1124583,1104903,19680
1044333,1096217,1079551,16667
10444013,8373808,5607864,2765943
1044927,545813,492479,53333
10450938,7228700,4556587,2672113
10451723,6999348,4957823,2041526
1045220,2391082,1918863,472219
1045503,851617,789950,61667
1045760,1263058,1013668,249390
10457800,4876451,2670421,2206030
1046000,1971708,1901708,70000
1046667,921670,914670,7000
10468405,6250327,2448247,3802080
10468776,7489022,5412355,2076667
10471667,3801565,2962762,838803
1047413,490819,447486,43333
10474227,7651549,4756622,2894926
1047500,743303,479023,264280
1048022,1814859,1778192,36667
10483333,6598083,4903809,1694274
1048337,488706,473706,15000
1048343,1035724,672224,363500
1048430,691213,620213,71000
1048481,803211,728211,75000
1048667,1920343,1815920,104423
1048750,795333,628903,166430
10487844,9258712,5612771,3645941
1048791,459897,404897,55000
1050000,1022017,857017,165000
1050000,1048182,957432,90750
1050000,1261940,1261940,0
1050000,1291408,886408,405000
1050000,1398569,987719,410850
1050000,984921,718254,266667
10500195,9427824,5884791,3543033
1050107,1554481,1540981,13500
1050310,2066253,1785653,280600
10509613,4339849,2250468,2089382
1051000,797773,691549,106223
10511979,3597776,2289786,1307990
1051333,645022,645022,0
10514680,2868491,2662311,206180
10516700,5479333,2707407,2771926
1051683,895305,769805,125500
10520633,6934162,3862541,3071621
1052507,876677,723010,153667
1052800,738883,738883,0
1052910,1253622,1002186,251437
1053193,395170,327670,67500
10532017,10138851,6519899,3618953
1053333,869240,496040,373200
10535258,5209523,3154482,2055040
1053543,512641,485974,26667
1053700,1246440,1110040,136400
1053750,1281188,1274938,6250
1053750,1370556,1287889,82667
1053750,714209,668472,45737
10537927,6932983,4243290,2689694
1054043,1538944,1202977,335967
1054043,1839757,1610845,228912
1054090,940863,940863,0
1054167,812235,713212,99023
10544102,20641827,950195,19691632
10545153,8163597,4275674,3887923
10546420,5713668,3327758,2385910
10550000,6661367,3547608,3113759
10550257,5626318,2250078,3376240
1055120,1427190,485160,942030
1055120,827603,590180,237423
1055290,2228011,2137725,90287
10553682,6493684,3548786,2944898
1055550,1848548,1763548,85000
1055750,344710,251430,93280
10559680,7134299,4541524,2592775
1055987,572730,533833,38897
1056000,1536257,1159040,377217
10560000,5251670,2652410,2599260
10560000,5627076,2741719,2885357
10560000,5905766,2634179,3271587
10566110,4693833,4062643,631190
1056667,1410005,891655,518350
10567233,6219892,3206222,3013670
10568776,7140058,5202441,1937617
1057083,1134173,738173,396000
10571225,6425806,4496204,1929602
1057140,1132055,997465,134590
1057140,1727332,1311562,415770
10571400,6445897,2612067,3833830
1057297,774419,699593,74827
1057400,1743401,1593401,150000
10576667,3507031,2278799,1228232
1057803,970880,944680,26200
1057841,1091374,1035202,56172
1057997,1960389,1306412,653977
1058330,986265,724584,261681
10585163,6804882,3870826,2934057
10585744,5238344,2588460,2649884
10587963,15374849,14549611,825237
1058815,4116435,3936435,180000
10589890,5123767,2788321,2335446
10589890,6483715,3351602,3132113
10589890,7501686,3004850,4496836
10589890,7671211,4088377,3582834
1059053,877760,729870,147890
1059167,2378353,2113615,264738
1059400,791063,771063,20000
1059707,592565,575899,16667
10600000,6319545,4001475,2318070
10600000,6972611,4411145,2561467
10600000,7705173,4936310,2768863
1060110,902130,797130,105000
10601209,8580618,2990169,5590449
1060667,644213,511880,132333
1060850,1244232,1244232,0
10611415,6378102,4492267,1885835
1061306,3409800,2613133,796667
10613336,12271560,5245938,7025623
10613376,6082500,3747995,2334505
10614004,12347307,11297354,1049953
1061667,967390,718723,248667
1062000,1151960,931960,220000
1062000,645050,355167,289883
1062120,961244,894711,66533
1062193,839277,789277,50000
10623690,7482464,3896960,3585504
1062407,674740,664740,10000
10624669,3861043,3017303,843740
1062533,929569,652543,277027
10629330,8200767,5606137,2594630
1063033,961463,792457,169007
1063500,1734176,1634176,100000
1063730,710079,648412,61667
10643318,8001752,3642954,4358799
1064400,2028550,1682550,346000
1064407,2506389,2160389,346000
1064520,871160,371160,500000
10647616,6715022,4379853,2335168
1064917,986089,931089,55000
10652447,6402097,3152263,3249834
10654478,7668438,4674886,2993553
1065667,970338,867004,103333
10660232,6754957,3184153,3570804
1066430,1548722,1398722,150000
10664490,7926894,4731899,3194995
1066637,332187,324367,7820
1066667,1442794,1441127,1667
1066667,1476597,1178982,297615
1066667,1590597,1318976,271621
1066667,1790142,1722339,67803
1066667,2284429,2111196,173233
1066667,796290,796290,0
106667,1020575,928555,92020
10667054,9807906,4661106,5146800
10669217,6152487,3173077,2979410
1067000,5039079,3945679,1093400
1067909,988992,915246,73747
10679500,7874591,5641670,2232921
1068000,710869,710869,0
