"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
5009418,3362226,1647192,5,09,8
5009650,3883263,1126387,5,09,8
5010187,3537850,1472336,5,10,8
5011857,3413130,1598727,5,09,7
5012712,3911049,1101663,3,06,5
5012998,3187226,1825772,5,09,8
501351,496351,5000,1,01,1
5017495,3318345,1699150,5,09,8
5018900,3305990,1712910,5,10,8
5019169,3922407,1096763,5,10,8
5019787,4237329,782458,4,07,5
5019970,4003052,1016918,4,08,6
5019981,3532319,1487663,5,09,8
5020610,2658350,2362260,5,10,8
5020613,2925556,2095057,5,09,8
5021177,4017374,1003802,4,08,6
5021829,3556403,1465427,5,10,8
5023197,3947729,1075468,4,08,7
5024725,2800596,2224129,1,01,1
5024941,3257216,1767725,5,10,8
5026056,3016302,2009754,5,09,8
5026085,3025779,2000307,5,10,8
5027049,4293491,733559,5,09,8
5030106,4137408,892698,5,09,7
5030211,4293103,737109,3,06,4
5031979,2473086,2558893,5,10,8
5033020,4213208,819812,4,08,6
5033618,2866072,2167547,5,09,8
5033682,3412268,1621414,5,09,7
503460,443460,60000,1,01,1
5035631,4032541,1003090,4,08,7
503722,503722,0,1,01,1
5037427,3252817,1784610,5,09,8
5038524,2583943,2454581,5,09,7
5038832,3637631,1401201,3,06,5
5039319,2902438,2136881,5,10,8
5039808,2825174,2214634,4,08,7
504039,475706,28333,1,01,1
5041387,3442512,1598875,5,10,8
5042229,4154179,888050,5,09,7
5042742,3640427,1402315,4,08,6
5043345,3457336,1586009,5,09,7
5044576,2612366,2432211,5,10,8
5044932,3733262,1311670,5,09,8
5047181,3701183,1345999,5,09,7
5047370,2956938,2090432,5,09,8
5048674,3300674,1748000,5,10,8
5048879,3092033,1956845,5,09,8
5050047,3524791,1525256,5,09,8
5050372,3794676,1255696,5,09,8
5050390,4401600,648790,3,05,4
5050731,3935494,1115237,4,08,6
5053322,4403018,650304,4,07,6
5053493,3918941,1134552,4,08,6
5055608,2943628,2111979,5,09,8
5055610,3715769,1339841,4,08,7
505591,488924,16667,1,01,1
5055932,3292100,1763832,5,09,7
5056458,3696170,1360288,5,09,8
5057530,3984569,1072962,4,07,6
5057877,3958820,1099057,4,07,5
5058087,1454417,3603670,4,07,6
5058310,3571663,1486647,5,10,8
5060084,4069485,990598,4,08,6
5061208,3746700,1314508,4,07,5
5061351,3343247,1718104,5,09,8
5061808,4158668,903140,1,01,2
5061898,3532094,1529803,5,10,8
5062728,2675699,2387029,4,08,7
5063576,4346033,717543,4,08,6
5064285,3433285,1631000,5,10,8
5064374,4309880,754493,4,08,6
5067545,3389606,1677939,5,09,7
5067784,3646514,1421270,4,07,5
5068452,3387102,1681350,5,10,8
5071062,3760638,1310424,5,09,7
507198,414641,92557,1,02,2
5073040,4206019,867021,2,04,3
5073186,3962966,1110220,4,08,6
5073330,3993480,1079850,5,09,7
5073419,3150086,1923333,5,09,7
5073671,3673125,1400546,4,07,5
5073800,4093083,980718,4,07,5
5074740,3006007,2068733,5,09,8
5077027,3565062,1511965,5,09,7
507753,447673,60080,1,01,1
5078536,2915028,2163508,4,08,6
5079011,4179125,899885,5,09,8
5079212,3142971,1936242,5,09,8
5080177,2726387,2353790,3,05,4
5081669,4153471,928198,5,09,7
508186,508186,0,1,01,1
5082652,3770553,1312098,5,09,8
5083067,3978696,1104371,5,10,8
5087109,4266824,820285,4,07,6
5087728,2492628,2595100,5,10,8
508883,507383,1500,1,01,1
508933,508766,167,1,01,1
5090913,4439548,651365,5,09,8
509162,469920,39242,1,01,2
5092791,3822109,1270682,5,09,8
5093166,4812776,280390,3,05,4
5093621,3904057,1189563,3,06,4
509470,451136,58333,1,01,1
5094841,4916508,178333,1,02,2
5095014,3373958,1721056,5,09,8
5096797,3880797,1216000,3,06,5
5096952,3363899,1733053,4,08,7
5099995,3369988,1730007,5,09,8
5101209,3214722,1886487,4,08,6
5102078,2595844,2506234,5,09,8
5103832,4292962,810870,4,07,6
510762,477428,33333,1,01,1
5108060,4399330,708730,4,08,6
5110890,2644357,2466533,5,10,8
511130,466260,44870,1,01,1
511222,361222,150000,1,01,1
5113131,4224093,889038,4,07,6
5113297,4023832,1089465,5,09,8
5113490,4222217,891273,3,06,4
5113782,3945237,1168545,4,07,6
5113802,4216117,897685,4,08,6
5113824,3824385,1289439,3,06,5
5117367,4337214,780153,4,08,6
5117498,3567876,1549622,5,09,7
5119073,4541947,577127,3,06,4
5119759,4417619,702140,5,09,8
5121557,4361269,760288,4,08,6
5123006,4831631,291375,5,09,7
5130328,2029864,3100465,5,10,8
5131501,4574001,557500,3,06,5
5131940,3825755,1306185,5,09,8
5132351,3586888,1545463,5,09,8
5133147,3139010,1994137,5,09,8
5134107,3217653,1916455,4,08,6
5134228,3931363,1202865,5,09,7
5135260,3576472,1558789,5,10,8
5138090,4424588,713502,5,10,8
5138106,3351361,1786745,3,05,4
5139104,2747515,2391589,5,09,8
5139391,3907309,1232082,4,07,6
513960,444392,69568,1,01,1
5143228,4176359,966868,3,06,5
5144386,3590512,1553874,4,08,7
514464,485580,28884,1,01,1
514525,451165,63360,1,01,1
5145501,2636901,2508600,5,09,7
5146140,4490531,655609,5,09,8
5146891,4585237,561654,2,03,3
514804,483684,31120,1,01,1
514919,474480,40438,1,01,1
5149680,3795827,1353853,5,09,7
5151392,4139347,1012045,4,08,7
5152343,4000268,1152076,4,07,5
5152840,1579040,3573800,5,09,7
5153229,2676645,2476584,5,09,8
5153437,3102738,2050699,5,10,8
5155325,3624399,1530926,5,10,8
515602,383358,132244,1,01,1
5157613,3819350,1338264,4,08,6
5157746,1690346,3467400,2,04,3
5159113,4450313,708800,5,09,8
5161595,3719073,1442522,4,08,6
516449,514616,1833,2,03,3
5165089,3485329,1679760,5,09,8
516551,397956,118595,1,01,1
5166570,3108837,2057733,3,06,5
5167015,3407292,1759723,5,10,8
516862,485612,31250,1,01,1
5168804,4816330,352473,5,10,8
5169895,3595893,1574002,5,10,8
5170186,3169980,2000207,5,10,8
517096,501686,15410,1,01,1
517380,500713,16667,1,01,1
5175590,3403503,1772087,5,10,8
5178353,3731653,1446700,5,09,7
517893,482893,35000,1,01,1
518082,484977,33105,1,01,1
5180978,3830278,1350700,4,08,6
5181829,4068618,1113212,4,07,6
5182034,2770035,2411998,5,10,8
5188161,4172553,1015608,5,09,7
5190302,5051229,139073,2,04,3
5190924,3434681,1756244,4,08,6
5191027,4953812,237215,4,07,5
5192763,2488030,2704733,3,06,5
5193693,4513816,679877,5,10,8
5193792,3213190,1980602,5,09,8
519424,425276,94148,1,01,1
519629,454803,64827,4,07,5
5196425,3178399,2018027,4,08,6
519651,472001,47650,1,01,1
5197084,4353514,843570,5,09,8
5197885,4173751,1024134,5,09,7
5199158,4396358,802800,5,09,7
5200276,3358727,1841549,5,10,8
5200472,1207333,3993138,4,08,6
5200825,4204605,996220,5,09,7
5201029,2409586,2791443,5,10,8
5201131,2319988,2881143,3,06,5
5202743,3703470,1499273,3,05,4
5203258,3375128,1828130,5,09,7
5203393,3589012,1614381,5,09,8
5203746,3962451,1241295,5,10,8
5203865,4037730,1166135,4,07,6
5203937,2618295,2585642,4,08,6
520516,466401,54115,1,01,1
5205921,2756082,2449839,5,09,8
5205927,3573219,1632709,5,09,8
5206128,3189707,2016421,4,08,6
5206491,4259961,946530,4,07,5
520704,516174,4530,1,01,1
5207182,4587152,620030,2,03,3
5209087,3725373,1483713,4,08,7
5209669,4725478,484192,5,09,8
520997,520997,0,1,01,1
521023,452680,68343,1,01,1
5210386,1362416,3847970,4,07,5
5211026,3059511,2151515,5,09,7
5211817,3069542,2142275,4,08,6
5212392,3795273,1417118,5,09,8
5217740,3817958,1399782,4,08,7
5217814,2779413,2438401,5,09,8
5218168,4056862,1161306,4,07,6
5220857,3142257,2078600,5,09,8
5221596,3266648,1954948,5,10,8
5222486,3304379,1918107,4,08,7
5223968,3577755,1646212,4,08,6
5225441,4636152,589289,4,07,6
5225928,3758662,1467267,4,08,6
522636,481969,40667,1,01,1
522828,502828,20000,1,01,1
5228484,4928989,299495,3,06,4
522891,487891,35000,1,01,1
5229926,4799028,430898,3,05,4
5230456,3867004,1363452,4,08,6
5231402,3105770,2125632,4,08,7
523229,488229,35000,1,02,2
523296,520776,2520,1,01,1
5233093,3274433,1958660,3,06,5
5236170,3029089,2207081,5,09,8
5238132,3168087,2070045,5,09,7
5240397,2611116,2629281,5,09,8
5242043,4486028,756015,4,08,6
5242847,1978867,3263980,5,10,8
5243658,3523394,1720264,5,09,7
5246232,4606706,639527,4,08,6
5246863,2667408,2579455,5,09,7
5248112,3169874,2078238,5,10,8
5248789,3098079,2150710,4,08,6
5249002,2561927,2687075,5,10,8
524938,450605,74333,1,01,1
5249740,4433647,816093,4,07,5
5250989,3292832,1958157,5,10,8
5252251,4081206,1171046,5,09,7
5252874,3353938,1898937,3,06,5
525309,514892,10417,1,01,1
525310,490499,34812,1,01,1
525337,456171,69167,1,01,1
5255513,4159213,1096300,5,10,8
525627,438961,86667,1,01,1
5257257,2855377,2401880,5,10,8
5258399,4634317,624083,5,09,8
5261016,4346541,914475,4,08,6
5261466,4391466,870000,4,07,5
526202,422697,103505,1,01,1
5264164,3324598,1939566,4,08,7
5265089,914584,4350505,4,07,6
5265577,3698127,1567450,5,09,8
526596,493247,33348,1,01,2
5266274,4211779,1054495,5,09,8
5267813,3934056,1333757,5,09,8
526897,481175,45722,1,01,1
527152,402985,124167,1,01,1
527180,514680,12500,1,01,1
5275673,1284843,3990830,4,08,6
527657,377657,150000,1,01,1
5276937,4420177,856760,4,07,5
527973,510673,17300,1,01,1
5280392,5012479,267913,4,07,5
5280860,4038940,1241920,4,08,6
528087,478713,49373,1,02,2
5286280,4784430,501850,3,05,4
5286737,4515222,771515,3,06,5
5287714,4214534,1073181,2,03,3
5288332,4348636,939696,4,07,5
5289172,5067557,221615,4,07,5
5289232,3793987,1495245,5,10,8
5289805,4591310,698495,5,10,8
5292634,2712597,2580037,4,08,7
529275,514473,14802,1,02,2
5292908,2776651,2516257,5,10,8
5293478,4514658,778820,4,07,6
5293513,3933363,1360150,4,07,6
5296322,4238132,1058190,5,10,8
